Block Number,Trial Number,Response,Correct Response,Color Code,Color,Accuracy,Response Time
1,1,0,1,3,yellow,0,0.0
1,2,1,1,3,yellow,1,0.15948470000876114
1,3,0,0,1,red,1,0.0
1,4,1,0,0,green,0,0.46641100000124425
1,5,1,1,2,blue,1,0.6662136999948416
1,6,0,0,0,green,1,0.0
1,7,1,1,2,blue,1,0.4569352999969851
1,8,1,0,1,red,0,0.7331135999993421
1,9,1,1,3,yellow,1,0.4568747000012081
1,10,1,1,3,yellow,1,0.4088698999839835
1,11,1,0,0,green,0,0.7906438000209164
1,12,1,1,3,yellow,1,0.46606880001490936
1,13,1,1,3,yellow,1,0.48428150001564063
1,14,1,1,3,yellow,1,0.426135300018359
1,15,0,0,0,green,1,0.0
1,16,1,1,3,yellow,1,0.4662153999961447
1,17,1,1,3,yellow,1,0.45754000000306405
1,18,0,0,0,green,1,0.0
1,19,0,0,0,green,1,0.0
1,20,0,0,1,red,1,0.0
2,1,1,1,3,yellow,1,0.6682828000048175
2,2,1,1,2,blue,1,0.6651001000136603
2,3,0,0,0,green,1,0.0
2,4,0,0,1,red,1,0.0
2,5,1,1,3,yellow,1,0.4164129000273533
2,6,1,1,3,yellow,1,0.40008449999731965
2,7,1,1,3,yellow,1,0.3904810000094585
2,8,0,0,1,red,1,0.0
2,9,1,0,0,green,0,0.5233085000072606
2,10,1,1,3,yellow,1,0.46597260000999086
2,11,1,1,3,yellow,1,0.48375869999290444
2,12,1,1,3,yellow,1,0.40876429999480024
2,13,0,0,0,green,1,0.0
2,14,1,1,3,yellow,1,0.40032429998973384
2,15,1,1,3,yellow,1,0.41615099998307414
2,16,1,1,3,yellow,1,0.35942479997174814
2,17,1,1,3,yellow,1,0.39003489998867735
2,18,1,1,2,blue,1,0.5326482999953441
2,19,0,0,1,red,1,0.0
2,20,0,1,2,blue,0,0.0
3,1,0,0,0,green,1,0.0
3,2,1,1,2,blue,1,0.46580370000447147
3,3,0,0,0,green,1,0.0
3,4,1,1,3,yellow,1,0.3604854999866802
3,5,1,1,3,yellow,1,0.5233528999960981
3,6,1,1,3,yellow,1,0.36079829998197965
3,7,1,1,3,yellow,1,0.39007439999841154
3,8,1,1,2,blue,1,0.5995788000000175
3,9,0,0,0,green,1,0.0
3,10,1,1,3,yellow,1,0.4260198000119999
3,11,0,0,0,green,1,0.0
3,12,1,1,2,blue,1,0.49244989998987876
3,13,1,0,0,green,0,0.5234486999979708
3,14,0,0,0,green,1,0.0
3,15,1,1,3,yellow,1,0.4565598999906797
3,16,1,1,3,yellow,1,0.6659905000124127
3,17,0,0,0,green,1,0.0
3,18,1,1,3,yellow,1,0.3995264999975916
3,19,1,1,3,yellow,1,0.4165043999964837
3,20,1,1,3,yellow,1,0.3999125999980606
